Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,364.570572951991,376.758714204473,364.095436021804,389.416357791097,397.985904741902,440.368155343632,444.950137932355,524.823533211573,553.300289383064,569.233387721432,630.427412567377,621.818078528877,610.241924288331,599.135195772503,596.257638538373
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,8.44416322679218,1.05555578746555,11.1752702416587,5.55413762257501,13.7402049898513,3.61136839226168,21.0206487363678,8.43329048161792,6.11368516942299,14.4347412879524,1.95912289275337,1.31253090764642,1.11255751924601,2.23227177311031
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,0.016870928928256,0.163712739944458,1.006098985672,3.46720504760742,7.20917892456055,13.9691715240479,23,27.5064105987549,34.2905120849609,42.4,47.8884658813477,42.7,61.5144195556641,69.1,75.1543731689453,89.5,..,..
Afghanistan,AFG,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,1.05929016894999,..,..,..,..,..,..,..
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,50.4389991760254,50.3619995117188,50.3160018920898,50.076000213623,50.242000579834,50.798999786377,46.9580001831055,47.1370010375977,47.2949981689453,47.2120018005371,47.1220016479492,47.0480003356934,47.015998840332,47.0429992675781,47.2400016784668,47.5029983520508,47.7159996032715,48.0040016174316,48.0349998474121,48.0480003356934
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,28.1555080721747,28.8944015562295,29.7210366694238,30.7780473608431,32.1147918389854,33.6671307784211,35.3289388230248,36.9435698312042,38.4014918971908,39.6615660325338,40.7695248598474,41.8068667095549,42.8948488190424,44.1184434641424,45.5053135434856,47.0192047299574,48.6041233955212,50.1761786600496,51.6749287749288,53.0834053242655
Afghanistan,AFG,"Population, total",SP.POP.TOTL,18381605,18863999,19403676,20093756,20966463,21979923,23064851,24118979,25070798,25893450,26616792,27294031,28004331,28803167,29708599,30696958,31731688,32758020,33736494,34656032
Afghanistan,AFG,Refugee population by country or territory of asylum,SM.POP.REFG,5,..,..,..,6,3,22,30,32,35,42,37,37,6434,3009,16187,16863,300423,257554,59770
Afghanistan,AFG,"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1677.2834685123,1839.93041779504,2101.61115286405,2256.05096189409,2458.14998597263,2569.8582949056,2728.41810120831,2896.27787194169,3077.67973683858,3265.36562197466,3484.25411086376,3775.47844386383,3928.34082756573,4094.35883191918,4210.07559481109,4276.91621037966,4332.32001690207,4419.44263430337,4547.12843860153,4711.98660680542
